Sample,Cell Number,ISTD Volume
batch3_59.d,20,10
batch3_60.d,20,10
batch3_PQC 26.d,20,10
batch3_61.d,20,10
batch3_62.d,20,10
batch3_63.d,20,10
batch3_64.d,20,10
batch3_65.d,20,10
batch3_PQC 27.d,20,10
batch3_PQC 27b.d,20,10
batch3_LTR 01.d,20,10
batch3_NIST 01.d,20,10
BLANK-04 (Eluent A).d,0,0
batch4_TQC25.d,40,20
batch4_TQC26.d,40,20
batch4_PQC 28.d,40,20
batch4_PQC 29.d,40,20
batch4_1.d,40,20
batch4_2.d,40,20
batch4_3.d,40,20
batch4_4.d,40,20
batch4_5.d,40,20
batch4_TQC27.d,40,20
batch4_6.d,40,20
batch4_7.d,40,20
batch4_8.d,40,20
batch4_9.d,40,20
batch4_10.d,40,20
batch4_PQC 30.d,40,20
batch4_11.d,40,20
batch4_12.d,40,20
batch4_13.d,40,20
batch4_14.d,40,20
batch4_15.d,40,20
batch4_TQC28.d,40,20
batch4_16.d,40,20
batch4_17.d,40,20
batch4_18.d,40,20
batch4_19.d,40,20
batch4_20.d,40,20
batch4_PQC 31.d,40,20
batch4_21.d,40,20
batch4_22.d,40,20
batch4_23.d,40,20
batch4_24.d,40,20
batch4_25.d,40,20
batch4_TQC29.d,40,20
batch4_26.d,40,20
batch4_27.d,40,20
batch4_28.d,40,20
batch4_29.d,40,20
batch4_30.d,40,20
batch4_PQC 32.d,40,20
batch4_31.d,40,20
batch4_32.d,40,20
batch4_33.d,40,20
batch4_34.d,40,20
batch4_35.d,40,20
batch4_TQC30.d,40,20
batch4_36.d,40,20
batch4_37.d,40,20
batch4_38.d,40,20
batch4_39.d,40,20
batch4_40.d,40,20
batch4_PQC 33.d,40,20
batch4_41.d,40,20
batch4_42.d,40,20
batch4_43.d,40,20
batch4_44.d,40,20
batch4_45.d,40,20
batch4_TQC31.d,40,20
batch4_46.d,40,20
batch4_47.d,40,20
batch4_48.d,40,20
batch4_49.d,40,20
batch4_50.d,40,20
batch4_PQC 34.d,40,20
batch4_51.d,40,20
batch4_52.d,40,20
batch4_53.d,40,20
batch4_54.d,40,20
batch4_55.d,40,20
batch4_TQC32.d,40,20
batch4_56.d,40,20
batch4_57.d,40,20
batch4_58.d,40,20
batch4_59.d,40,20
batch4_60.d,40,20
batch4_PQC 35.d,40,20
batch4_61.d,40,20
batch4_62.d,40,20
batch4_63.d,40,20
batch4_64.d,40,20
batch4_65.d,40,20
batch4_PQC 36.d,40,20
batch4_PQC 36b.d,40,20
BLANK-05 (Eluent A).d,0,0
batch5_TQC33.d,50,30
batch5_TQC34.d,50,30
batch5_PQC 37.d,50,30
batch5_PQC 38.d,50,30
batch5_1.d,50,30
batch5_2.d,50,30
batch5_3.d,50,30
batch5_4.d,50,30
batch5_5.d,50,30
batch5_TQC34a.d,50,30
batch5_TQC34b.d,50,30
batch5_TQC34c.d,50,30
batch5_TQC35.d,50,30
batch5_6.d,50,30
batch5_7.d,50,30
batch5_8.d,50,30
batch5_9.d,50,30
batch5_10.d,50,30
batch5_PQC 39.d,50,30
batch5_11.d,50,30
batch5_12.d,50,30
batch5_13.d,50,30
batch5_14.d,50,30
batch5_15.d,50,30
batch5_TQC36.d,50,30
batch5_16.d,50,30
batch5_17.d,50,30
batch5_18.d,50,30
batch5_19.d,50,30
batch5_20.d,50,30
batch5_PQC 40.d,50,30
batch5_21.d,50,30
batch5_22.d,50,30
batch5_23.d,50,30
batch5_24.d,50,30
batch5_25.d,50,30
batch5_TQC37.d,50,30
batch5_26.d,50,30
batch5_27.d,50,30
batch5_28.d,50,30
batch5_29.d,50,30
batch5_30.d,50,30
batch5_PQC 41.d,50,30
batch5_31.d,50,30
batch5_32.d,50,30
batch5_33.d,50,30
batch5_34.d,50,30
batch5_35.d,50,30
batch5_TQC38.d,50,30
batch5_36.d,50,30
batch5_37.d,50,30
batch5_38.d,50,30
batch5_39.d,50,30
batch5_40.d,50,30
batch5_PQC 42.d,50,30
batch5_41.d,50,30
batch5_42.d,50,30
batch5_43.d,50,30
batch5_44.d,50,30
batch5_45.d,50,30
batch5_TQC39.d,50,30
batch5_46.d,50,30
batch5_47.d,50,30
batch5_48.d,50,30
batch5_49.d,50,30
batch5_50.d,50,30
batch5_PQC 43.d,50,30
batch5_51.d,50,30
batch5_52.d,50,30
batch5_53.d,50,30
batch5_54.d,50,30
batch5_55.d,50,30
batch5_TQC40.d,50,30
batch5_56.d,50,30
batch5_57.d,50,30
batch5_58.d,50,30
batch5_59.d,50,30
batch5_60.d,50,30
batch5_PQC 44.d,50,30
batch5_61.d,50,30
batch5_62.d,50,30
batch5_63.d,50,30
batch5_64.d,50,30
batch5_65.d,50,30
batch5_PQC 45.d,50,30
batch5_PQC 45b.d,50,30
BLANK-06 (Eluent A).d,0,0
batch6_TQC41.d,30,15
batch6_TQC42.d,30,15
batch6_PQC 46.d,30,15
batch6_PQC 47.d,30,15
batch6_1.d,30,15
batch6_2.d,30,15
batch6_3.d,30,15
batch6_4.d,30,15
batch6_5.d,30,15
batch6_TQC43.d,30,15
batch6_6.d,30,15
batch6_7.d,30,15
batch6_8.d,30,15
batch6_9.d,30,15
batch6_10.d,30,15
batch6_PQC 48.d,30,15
batch6_11.d,30,15
batch6_12.d,30,15
batch6_13.d,30,15
batch6_14.d,30,15
batch6_15.d,30,15
batch6_TQC44.d,30,15
batch6_16.d,30,15
batch6_17.d,30,15
batch6_18.d,30,15
batch6_19.d,30,15
batch6_20.d,30,15
batch6_PQC 49.d,30,15
batch6_21.d,30,15
batch6_22.d,30,15
batch6_23.d,30,15
batch6_24.d,30,15
batch6_25.d,30,15
batch6_TQC45.d,30,15
batch6_26.d,30,15
batch6_27.d,30,15
batch6_28.d,30,15
batch6_29.d,30,15
batch6_30.d,30,15
batch6_PQC 50.d,30,15
batch6_31.d,30,15
batch6_32.d,30,15
batch6_33.d,30,15
batch6_34.d,30,15
batch6_35.d,30,15
batch6_TQC46.d,30,15
batch6_36.d,30,15
batch6_37.d,30,15
batch6_38.d,30,15
batch6_39.d,30,15
batch6_40.d,30,15
batch6_PQC 51.d,30,15
batch6_41.d,30,15
batch6_42.d,30,15
batch6_43.d,30,15
batch6_44.d,30,15
batch6_45.d,30,15
batch6_TQC47.d,30,15
batch6_46.d,30,15
batch6_47.d,30,15
batch6_48.d,30,15
batch6_49.d,30,15
batch6_50.d,30,15
batch6_PQC 52.d,30,15
batch6_51.d,30,15
batch6_52.d,30,15
batch6_53.d,30,15
batch6_TQC48.d,30,15
batch6_PQC 53.d,30,15
batch6_PQC 53b.d,30,15
batch6_B-ISTD 09.d,30,15
batch6_Un-ISTD 01.d,30,15
batch6_TQC-100%.d,30,15
batch6_TQC-80%.d,30,15
batch6_TQC-60%.d,30,15
batch6_TQC-40%.d,30,15
batch6_TQC-20%.d,30,15
batch6_TQC-10%.d,30,15
batch6_LTR 01.d,30,15
batch6_NIST 01.d,30,15
BLANK-07 (Eluent A).d,0,0
BLANK-08 (Eluent A).d,0,0
