Sample,,,,,,S1P d16:1 Results,,,S1P d17:1 Results,,,S1P d18:0 Results,,,S1P d18:1 Results,,,S1P d18:1 13C2D2 (IS) Results,,,S1P d18:2 Results,,,S1P d19:1 Results,,,S1P d20:1 Results,,
,,030_SPL_S010_Rahm 1,030_SPL_S010_Rahm 1.d,Sample,19/4/2018 10:43 PM,4497,3.463,0.054,3221,3.429,0.058,22950,3.384,0.060,211352,3.402,0.055,44461,3.400,0.055,25472,3.436,0.056,4304,3.374,0.058,1354,3.340,0.059
!,!,031_SPL_S011_VM347595,031_SPL_S011_VM347595.d,Sample,19/4/2018 10:54 PM,3456,3.463,0.056,3281,3.429,0.057,5548,3.384,0.061,52682,3.402,0.055,37239,3.400,0.056,15383,3.436,0.055,1198,3.374,0.059,256,3.348,0.036
,,032_SPL_S012_VM350594,032_SPL_S012_VM350594.d,Sample,19/4/2018 11:04 PM,4219,3.463,0.055,4979,3.429,0.056,16447,3.384,0.060,141481,3.402,0.055,40695,3.400,0.055,17944,3.428,0.056,3491,3.374,0.058,736,3.340,0.051
,,033_SPL_S013_Bösiger 0,033_SPL_S013_Bösiger 0.d,Sample,19/4/2018 11:14 PM,6190,3.463,0.054,4984,3.429,0.057,35159,3.384,0.060,220025,3.402,0.055,40455,3.400,0.056,25956,3.436,0.056,4448,3.374,0.057,1129,3.348,0.055
!,!,034_SPL_S014_Bösiger 1,034_SPL_S014_Bösiger 1.d,Sample,19/4/2018 11:24 PM,8560,3.463,0.055,5646,3.429,0.056,21878,3.384,0.060,175313,3.402,0.055,42078,3.400,0.056,27468,3.436,0.056,3406,3.366,0.057,680,3.340,0.116
,,035_SPL_S015_LZ152791,035_SPL_S015_LZ152791.d,Sample,19/4/2018 11:35 PM,6366,3.463,0.055,4751,3.429,0.057,18480,3.376,0.059,129794,3.402,0.055,36775,3.400,0.055,23052,3.428,0.055,2983,3.374,0.057,747,3.340,0.116
,,036_SPL_S016_VM333821,036_SPL_S016_VM333821.d,Sample,19/4/2018 11:45 PM,10685,3.463,0.055,6249,3.429,0.056,27867,3.384,0.059,176068,3.402,0.055,39155,3.400,0.056,26236,3.436,0.056,4814,3.374,0.057,1317,3.340,0.043
,,037_BQC_PQC04,037_BQC_PQC04.d,BQC,19/4/2018 11:55 PM,6716,3.463,0.052,4503,3.429,0.055,18097,3.384,0.060,137282,3.402,0.055,41460,3.400,0.055,23679,3.436,0.056,3255,3.374,0.058,963,3.348,0.057
,,038_TQC_TQC03,038_TQC_TQC03.d,TQC,20/4/2018 12:05 AM,7073,3.463,0.056,4884,3.437,0.057,18877,3.384,0.059,161427,3.402,0.055,42394,3.400,0.056,24601,3.436,0.056,3687,3.374,0.057,986,3.340,0.043
,,039_SPL_S017_Vogt 0,039_SPL_S017_Vogt 0.d,Sample,20/4/2018 12:16 AM,15219,3.463,0.054,8503,3.429,0.056,24182,3.384,0.060,184830,3.402,0.055,44722,3.400,0.056,32768,3.436,0.055,4798,3.374,0.058,1058,3.340,0.056
,,040_SPL_S018_Vogt 1,040_SPL_S018_Vogt 1.d,Sample,20/4/2018 12:26 AM,14389,3.463,0.055,8856,3.429,0.056,26641,3.384,0.059,197016,3.402,0.055,41673,3.400,0.056,30675,3.436,0.055,5399,3.374,0.058,1159,3.348,0.043
,,041_SPL_S019_VM334426,041_SPL_S019_VM334426.d,Sample,20/4/2018 12:36 AM,9827,3.463,0.055,5047,3.429,0.057,19733,3.384,0.061,172427,3.402,0.055,37505,3.400,0.056,33093,3.436,0.056,3213,3.374,0.059,873,3.340,0.057
,,042_SPL_S020_VM326794,042_SPL_S020_VM326794.d,Sample,20/4/2018 12:46 AM,4207,3.463,0.060,3333,3.429,0.057,13100,3.384,0.060,107165,3.402,0.055,36137,3.400,0.056,18564,3.436,0.056,1993,3.374,0.060,620,3.340,0.065
!,!,043_SPL_S021_Kaplan 0,043_SPL_S021_Kaplan 0.d,Sample,20/4/2018 12:57 AM,5283,3.463,0.055,5102,3.429,0.056,20713,3.384,0.060,203324,3.402,0.055,40168,3.400,0.056,24364,3.436,0.056,3652,3.374,0.057,1113,3.340,0.071
,,044_SPL_S022_Kaplan 1,044_SPL_S022_Kaplan 1.d,Sample,20/4/2018 1:07 AM,4082,3.463,0.055,4159,3.437,0.056,21527,3.384,0.060,181173,3.402,0.055,41188,3.408,0.056,21286,3.436,0.056,3934,3.374,0.058,1273,3.348,0.030
!,!,045_SPL_S023_VM327012,045_SPL_S023_VM327012.d,Sample,20/4/2018 1:17 AM,1870,3.463,0.055,2008,3.429,0.058,7675,3.376,0.060,49544,3.402,0.055,37413,3.400,0.055,12819,3.428,0.056,1654,3.357,0.067,223,3.340,0.108
,,046_SPL_S024_LZ147929,046_SPL_S024_LZ147929.d,Sample,20/4/2018 1:27 AM,4303,3.463,0.054,3310,3.429,0.057,18873,3.384,0.058,124055,3.402,0.055,42480,3.400,0.055,18746,3.436,0.056,2688,3.374,0.057,895,3.340,0.056
,,047_BQC_PQC05,047_BQC_PQC05.d,BQC,20/4/2018 1:38 AM,6397,3.463,0.055,4551,3.429,0.056,18496,3.384,0.060,145073,3.402,0.055,40488,3.400,0.056,21648,3.436,0.056,2944,3.374,0.059,971,3.340,0.058
,,048_SPL_S025_Jossi 0,048_SPL_S025_Jossi 0.d,Sample,20/4/2018 1:48 AM,1689,3.463,0.057,1602,3.429,0.058,13385,3.384,0.060,106262,3.402,0.055,43195,3.400,0.055,13237,3.436,0.056,2270,3.366,0.060,686,3.348,0.080
,,049_SPL_S026_VM324503,049_SPL_S026_VM324503.d,Sample,20/4/2018 1:58 AM,3867,3.463,0.054,3027,3.429,0.057,14397,3.384,0.060,114228,3.402,0.055,37182,3.400,0.056,18489,3.436,0.055,2492,3.374,0.058,965,3.340,0.046
!,!,050_SPL_S027_Waldbug 0,050_SPL_S027_Waldbug 0.d,Sample,20/4/2018 2:09 AM,3096,3.463,0.056,1893,3.429,0.057,15042,3.384,0.060,140098,3.402,0.055,41022,3.400,0.055,16881,3.436,0.057,2970,3.374,0.058,1068,3.340,0.056
!,!,051_SPL_S028_LZ147119,051_SPL_S028_LZ147119.d,Sample,20/4/2018 2:19 AM,7118,3.463,0.055,4247,3.429,0.057,7006,3.384,0.061,55338,3.402,0.055,42743,3.400,0.056,14878,3.436,0.056,1222,3.374,0.058,295,3.340,0.116
,,052_SPL_S029_Schmidli 0,052_SPL_S029_Schmidli 0.d,Sample,20/4/2018 2:29 AM,14530,3.463,0.054,7932,3.429,0.056,25144,3.384,0.060,207611,3.402,0.055,47330,3.400,0.056,29097,3.436,0.056,3636,3.374,0.057,686,3.340,0.062
,,053_SPL_S030_Schmidli 1,053_SPL_S030_Schmidli 1.d,Sample,20/4/2018 2:39 AM,15224,3.463,0.055,10311,3.429,0.056,25149,3.384,0.060,198929,3.402,0.055,43688,3.400,0.056,31751,3.436,0.056,3919,3.374,0.057,1047,3.340,0.069
,,054_SPL_S031_LZ145928,054_SPL_S031_LZ145928.d,Sample,20/4/2018 2:50 AM,12705,3.463,0.054,7417,3.429,0.057,31343,3.384,0.061,373376,3.402,0.055,41092,3.400,0.056,37174,3.436,0.056,6251,3.374,0.057,2408,3.348,0.057
!,!,055_SPL_S032_VM307676,055_SPL_S032_VM307676.d,Sample,20/4/2018 3:00 AM,2232,3.463,0.055,1923,3.437,0.058,13267,3.384,0.059,81409,3.402,0.055,41426,3.400,0.055,14032,3.436,0.056,2015,3.374,0.060,602,3.348,0.047
,,056_BQC_PQC06,056_BQC_PQC06.d,BQC,20/4/2018 3:10 AM,6327,3.463,0.055,4404,3.429,0.056,17837,3.384,0.058,147550,3.402,0.055,40949,3.400,0.056,22614,3.436,0.056,2780,3.374,0.058,799,3.340,0.116
,,057_TQC_TQC04,057_TQC_TQC04.d,TQC,20/4/2018 3:20 AM,7322,3.463,0.055,4941,3.429,0.056,18369,3.384,0.060,161718,3.402,0.055,45380,3.400,0.056,25698,3.436,0.056,3507,3.374,0.058,792,3.340,0.042
,,058_SPL_S033_Huber 0,058_SPL_S033_Huber 0.d,Sample,20/4/2018 3:31 AM,6381,3.463,0.055,5806,3.429,0.057,17300,3.384,0.060,161637,3.402,0.055,45628,3.400,0.056,27410,3.436,0.056,3470,3.374,0.057,786,3.348,0.065
,,059_SPL_S034_Huber 1,059_SPL_S034_Huber 1.d,Sample,20/4/2018 3:41 AM,4893,3.463,0.055,4200,3.429,0.057,14976,3.384,0.060,129046,3.402,0.055,41218,3.400,0.055,20587,3.436,0.056,2548,3.374,0.058,679,3.348,0.056
,,060_SPL_S035_VM308456,060_SPL_S035_VM308456.d,Sample,20/4/2018 3:51 AM,6196,3.463,0.055,5626,3.437,0.056,21551,3.384,0.059,171354,3.402,0.055,45660,3.408,0.056,26238,3.436,0.056,3154,3.374,0.058,901,3.340,0.059
,,061_SPL_S036_VM308697,061_SPL_S036_VM308697.d,Sample,20/4/2018 4:01 AM,6423,3.463,0.054,4971,3.429,0.056,16006,3.384,0.061,157480,3.402,0.055,40913,3.400,0.056,29653,3.428,0.056,3487,3.374,0.058,708,3.348,0.048
,,062_SPL_S037_Stahel 0,062_SPL_S037_Stahel 0.d,Sample,20/4/2018 4:12 AM,6464,3.463,0.058,8793,3.429,0.056,22220,3.384,0.059,199023,3.402,0.055,43590,3.400,0.056,25281,3.436,0.055,4611,3.374,0.057,1357,3.348,0.054
,,063_SPL_S038_VM308924,063_SPL_S038_VM308924.d,Sample,20/4/2018 4:22 AM,10144,3.463,0.055,5292,3.429,0.056,8312,3.384,0.059,91945,3.402,0.055,54677,3.400,0.055,24895,3.436,0.056,1640,3.374,0.058,317,3.331,0.059
,,064_SPL_S039_Siegrist 0,064_SPL_S039_Siegrist 0.d,Sample,20/4/2018 4:32 AM,12231,3.463,0.054,6487,3.429,0.056,13783,3.384,0.060,153955,3.402,0.055,43400,3.400,0.056,33444,3.436,0.056,2790,3.374,0.059,634,3.340,0.044
,,065_SPL_S040_Siegrist 1,065_SPL_S040_Siegrist 1.d,Sample,20/4/2018 4:42 AM,12409,3.463,0.055,7200,3.429,0.056,16579,3.384,0.060,169685,3.402,0.055,40739,3.400,0.056,31715,3.436,0.056,3572,3.374,0.058,795,3.348,0.064
,,066_BQC_PQC07,066_BQC_PQC07.d,BQC,20/4/2018 4:53 AM,6153,3.463,0.055,4885,3.429,0.056,18915,3.384,0.059,134133,3.402,0.055,42307,3.400,0.055,22490,3.436,0.056,3215,3.374,0.056,824,3.340,0.039
,,067_SPL_S041_VM897848,067_SPL_S041_VM897848.d,Sample,20/4/2018 5:03 AM,9819,3.463,0.055,6503,3.429,0.056,13810,3.384,0.060,146541,3.402,0.055,41430,3.400,0.056,31648,3.436,0.056,2977,3.374,0.059,710,3.340,0.061
!,!,068_SPL_S042_LZ140230,068_SPL_S042_LZ140230.d,Sample,20/4/2018 5:13 AM,5125,3.463,0.055,3889,3.429,0.056,11542,3.384,0.061,99983,3.402,0.055,42795,3.400,0.056,17212,3.436,0.055,1857,3.374,0.058,467,3.348,0.039
,,069_SPL_S043_Bader 0,069_SPL_S043_Bader 0.d,Sample,20/4/2018 5:23 AM,4195,3.463,0.055,3140,3.437,0.057,20949,3.384,0.059,171494,3.402,0.055,42616,3.400,0.056,18396,3.436,0.056,3358,3.374,0.057,877,3.348,0.124
,,070_SPL_S043_Bader 1,070_SPL_S043_Bader 1.d,Sample,20/4/2018 5:34 AM,4939,3.463,0.055,4815,3.429,0.056,23738,3.384,0.059,198650,3.402,0.055,45733,3.400,0.056,23922,3.436,0.056,4197,3.374,0.057,1027,3.340,0.040
,,071_SPL_S045_VM884952,071_SPL_S045_VM884952.d,Sample,20/4/2018 5:44 AM,4279,3.463,0.055,3931,3.429,0.056,16298,3.384,0.059,106123,3.402,0.055,40052,3.400,0.056,18554,3.436,0.057,2313,3.374,0.058,733,3.340,0.059
,,072_SPL_S046_VM891381,072_SPL_S046_VM891381.d,Sample,20/4/2018 5:54 AM,8508,3.463,0.055,6728,3.429,0.057,19737,3.384,0.060,177408,3.402,0.055,44610,3.400,0.056,41944,3.436,0.056,3454,3.374,0.057,831,3.340,0.060
,,073_SPL_S047_Lanfranchi 0,073_SPL_S047_Lanfranchi 0.d,Sample,20/4/2018 6:04 AM,3724,3.463,0.054,3605,3.429,0.057,20811,3.384,0.060,159231,3.402,0.055,43831,3.400,0.056,30140,3.436,0.055,3166,3.366,0.057,1050,3.340,0.062
,,074_SPL_S048_Lanfranchi 1,074_SPL_S048_Lanfranchi 1.d,Sample,20/4/2018 6:15 AM,2865,3.463,0.055,3843,3.429,0.057,18828,3.376,0.060,133618,3.402,0.056,42330,3.400,0.056,17790,3.428,0.055,3171,3.374,0.058,1399,3.340,0.056
,,075_BQC_PQC08,075_BQC_PQC08.d,BQC,20/4/2018 6:25 AM,6779,3.463,0.054,4580,3.429,0.056,17043,3.384,0.061,143347,3.402,0.055,39146,3.400,0.056,22859,3.428,0.056,3284,3.374,0.057,926,3.340,0.058
,,076_TQC_TQC05,076_TQC_TQC05.d,TQC,20/4/2018 6:35 AM,6324,3.463,0.055,5507,3.437,0.057,20707,3.384,0.061,163471,3.402,0.055,45456,3.400,0.056,25076,3.436,0.056,3600,3.374,0.057,978,3.340,0.051
,,077_SPL_S049_LZ134416,077_SPL_S049_LZ134416.d,Sample,20/4/2018 6:45 AM,6167,3.463,0.055,3791,3.437,0.053,19087,3.384,0.059,140859,3.402,0.055,40348,3.400,0.055,20619,3.436,0.056,2813,3.374,0.058,776,3.340,0.026
!,!,078_SPL_S050_LZ134458,078_SPL_S050_LZ134458.d,Sample,20/4/2018 6:56 AM,7404,3.463,0.055,3648,3.429,0.057,11670,3.384,0.060,105264,3.402,0.055,41405,3.400,0.055,21039,3.436,0.056,2707,3.374,0.058,761,3.340,0.058
,,079_SPL_S051_Zehnder 0,079_SPL_S051_Zehnder 0.d,Sample,20/4/2018 7:06 AM,5763,3.463,0.055,3798,3.437,0.057,20485,3.384,0.060,188268,3.402,0.055,47020,3.408,0.056,31176,3.436,0.056,3887,3.374,0.050,1172,3.348,0.058
!,!,080_SPL_S052_VM867188,080_SPL_S052_VM867188.d,Sample,20/4/2018 7:16 AM,9220,3.463,0.057,12798,3.429,0.056,10518,3.384,0.062,108073,3.402,0.056,39950,3.400,0.055,31012,3.436,0.056,3559,3.374,0.057,564,3.340,0.033
,,081_SPL_S053_Rüegg 0,081_SPL_S053_Rüegg 0.d,Sample,20/4/2018 7:26 AM,7445,3.463,0.055,5376,3.429,0.057,17371,3.384,0.061,178664,3.402,0.055,41259,3.400,0.056,24485,3.436,0.056,4718,3.374,0.058,982,3.348,0.133
,,082_SPL_S054_Rüegg 1,082_SPL_S054_Rüegg 1.d,Sample,20/4/2018 7:37 AM,8458,3.463,0.056,5948,3.429,0.056,20579,3.384,0.059,213135,3.402,0.055,41238,3.400,0.056,27997,3.436,0.056,5321,3.374,0.057,1144,3.348,0.059
,,083_SPL_S055_VM867758,083_SPL_S055_VM867758.d,Sample,20/4/2018 7:47 AM,7280,3.463,0.055,6056,3.429,0.057,22446,3.376,0.059,144892,3.402,0.055,37450,3.400,0.056,21522,3.436,0.056,3465,3.374,0.055,976,3.340,0.046
,,084_SPL_S056_LZ132178,084_SPL_S056_LZ132178.d,Sample,20/4/2018 7:57 AM,4011,3.463,0.056,3976,3.429,0.057,28646,3.376,0.057,140617,3.402,0.055,40915,3.400,0.056,19005,3.436,0.056,3058,3.374,0.059,1364,3.340,0.057
,,085_BQC_PQC09,085_BQC_PQC09.d,BQC,20/4/2018 8:07 AM,5988,3.463,0.054,4592,3.429,0.053,17665,3.384,0.060,150195,3.402,0.055,41186,3.400,0.055,23303,3.436,0.055,3236,3.366,0.056,919,3.340,0.049
,,086_SPL_S057_Brunett 0,086_SPL_S057_Brunett 0.d,Sample,20/4/2018 8:18 AM,6845,3.463,0.056,5529,3.429,0.056,19332,3.384,0.061,180178,3.402,0.055,39000,3.400,0.056,25407,3.436,0.056,3995,3.374,0.057,1059,3.340,0.048
,,087_SPL_S058_Brunett 1,087_SPL_S058_Brunett 1.d,Sample,20/4/2018 8:28 AM,8500,3.463,0.053,7807,3.429,0.056,28736,3.384,0.060,243876,3.402,0.055,41298,3.400,0.056,30720,3.436,0.056,5900,3.374,0.057,1342,3.340,0.056
,,088_SPL_S059_LZ132484,088_SPL_S059_LZ132484.d,Sample,20/4/2018 8:38 AM,7480,3.463,0.055,3636,3.429,0.057,7973,3.384,0.060,69910,3.402,0.055,39890,3.400,0.055,19659,3.436,0.056,1513,3.366,0.057,229,3.331,0.055
,,089_SPL_S060_LZ130643,089_SPL_S060_LZ130643.d,Sample,20/4/2018 8:48 AM,7090,3.463,0.055,4870,3.437,0.057,11421,3.384,0.060,105693,3.402,0.055,41149,3.400,0.055,24415,3.436,0.056,2143,3.374,0.057,463,3.340,0.059
,,090_SPL_S061_Luder 0,090_SPL_S061_Luder 0.d,Sample,20/4/2018 8:59 AM,3225,3.463,0.054,2660,3.429,0.056,10955,3.384,0.060,105992,3.402,0.055,45247,3.400,0.056,17341,3.436,0.056,2812,3.374,0.058,657,3.340,0.057
,,091_SPL_S062_Luder 1,091_SPL_S062_Luder 1.d,Sample,20/4/2018 9:09 AM,5153,3.463,0.054,3356,3.429,0.055,11857,3.384,0.061,125978,3.402,0.055,42434,3.400,0.055,18801,3.428,0.056,3259,3.366,0.059,764,3.340,0.062
,,092_SPL_S063_VM851335,092_SPL_S063_VM851335.d,Sample,20/4/2018 9:19 AM,4693,3.463,0.055,2588,3.429,0.058,17911,3.384,0.058,116244,3.402,0.055,40473,3.400,0.055,21603,3.436,0.056,2166,3.374,0.058,691,3.340,0.059
!,!,093_SPL_S064_VM851511,093_SPL_S064_VM851511.d,Sample,20/4/2018 9:29 AM,11353,3.463,0.055,6161,3.429,0.057,8117,3.384,0.062,73144,3.402,0.055,39074,3.400,0.056,28298,3.436,0.056,1788,3.366,0.058,253,3.340,0.070
,,094_BQC_PQC10,094_BQC_PQC10.d,BQC,20/4/2018 9:40 AM,6549,3.463,0.052,4742,3.429,0.056,17363,3.384,0.059,142717,3.402,0.055,38601,3.400,0.056,22664,3.436,0.056,3336,3.374,0.058,885,3.348,0.040
,,095_TQC_TQC06,095_TQC_TQC06.d,TQC,20/4/2018 9:50 AM,7082,3.463,0.060,5763,3.437,0.057,20614,3.384,0.060,159057,3.402,0.055,46711,3.400,0.056,25736,3.436,0.056,3407,3.374,0.057,948,3.348,0.054
,,096_SPL_S065_Biberstein 0,096_SPL_S065_Biberstein 0.d,Sample,20/4/2018 10:00 AM,11229,3.463,0.055,5128,3.429,0.056,17821,3.384,0.059,153508,3.402,0.055,40280,3.400,0.056,33086,3.436,0.056,2752,3.374,0.056,740,3.340,0.065
,,097_SPL_S066_Biberstein 1,097_SPL_S066_Biberstein 1.d,Sample,20/4/2018 10:10 AM,18705,3.463,0.055,7704,3.429,0.057,24264,3.384,0.060,182891,3.402,0.055,41795,3.400,0.055,32639,3.436,0.056,4036,3.366,0.057,618,3.340,0.054
,,098_SPL_S067_VM852651,098_SPL_S067_VM852651.d,Sample,20/4/2018 10:21 AM,5321,3.463,0.055,4569,3.429,0.056,25445,3.376,0.059,157246,3.402,0.055,38989,3.400,0.056,25195,3.428,0.056,3219,3.366,0.056,1018,3.340,0.022
